gen_index,rank,real_index,distance
0,0,540,9.497498
0,1,437,10.158840
0,2,153,10.260388
0,3,111,10.488441
0,4,315,10.546771
1,0,373,9.803464
1,1,163,10.178653
1,2,579,10.190076
1,3,89,10.312053
1,4,204,10.400949
2,0,542,11.347341
2,1,331,11.643538
2,2,180,11.704257
2,3,381,12.243937
2,4,136,12.347102
3,0,378,11.269298
3,1,308,11.375277
3,2,235,11.498580
3,3,346,12.048453
3,4,515,12.052674
4,0,80,11.745088
4,1,569,12.206873
4,2,445,12.261634
4,3,176,12.285610
4,4,42,12.315987
5,0,554,9.837569
5,1,389,10.044174
5,2,391,10.339513
5,3,378,10.431107
5,4,75,10.591229
6,0,115,14.488660
6,1,26,14.498197
6,2,215,14.655657
6,3,253,14.683416
6,4,390,14.716299
7,0,209,10.912413
7,1,487,11.443513
7,2,501,11.660430
7,3,544,12.058920
7,4,304,12.076500
8,0,165,13.748049
8,1,179,14.025132
8,2,229,14.124726
8,3,181,14.260505
8,4,100,14.314005
9,0,179,11.982154
9,1,280,12.422656
9,2,392,12.590574
9,3,295,12.689088
9,4,229,12.727080
10,0,32,13.683546
10,1,149,14.352309
10,2,454,14.990726
10,3,59,15.100593
10,4,145,15.194935
11,0,110,13.385836
11,1,556,13.686562
11,2,12,14.037458
11,3,328,14.071133
11,4,81,14.095101
12,0,529,8.152669
12,1,411,8.155711
12,2,490,9.162074
12,3,0,9.206918
12,4,29,9.375778
13,0,295,11.005966
13,1,179,11.020112
13,2,165,11.305104
13,3,234,11.720291
13,4,229,11.744452
14,0,243,11.696873
14,1,43,12.035536
14,2,82,13.270007
14,3,295,13.423555
14,4,468,13.720531
15,0,451,12.822410
15,1,308,13.375901
15,2,108,13.796143
15,3,276,14.211536
15,4,591,14.340945
16,0,272,10.676901
16,1,179,10.994075
16,2,165,11.041749
16,3,295,11.143475
16,4,116,11.347478
17,0,23,11.243002
17,1,373,11.321871
17,2,461,11.383764
17,3,501,11.586262
17,4,89,11.718633
18,0,540,9.231036
18,1,411,9.315551
18,2,245,9.477242
18,3,560,9.728786
18,4,490,9.740934
19,0,179,13.729188
19,1,217,14.221936
19,2,145,14.297064
19,3,442,14.339395
19,4,110,14.405232
20,0,540,10.685570
20,1,411,10.845953
20,2,529,10.969499
20,3,455,11.006273
20,4,387,11.062572
21,0,66,9.329198
21,1,196,9.650743
21,2,72,9.951056
21,3,113,10.373826
21,4,191,10.725231
22,0,407,11.277905
22,1,128,12.426474
22,2,155,12.576776
22,3,178,12.584138
22,4,588,12.713667
23,0,87,11.305630
23,1,254,11.455363
23,2,498,11.494506
23,3,573,11.513764
23,4,429,11.871520
24,0,354,9.783172
24,1,276,10.798591
24,2,420,10.809013
24,3,415,10.852359
24,4,346,10.930132
25,0,289,15.130763
25,1,531,15.196582
25,2,49,15.585074
25,3,145,15.651314
25,4,166,15.653975
26,0,353,10.889801
26,1,7,10.904571
26,2,52,11.058024
26,3,206,11.211096
26,4,50,11.239242
27,0,539,9.320306
27,1,359,9.790119
27,2,53,10.008258
27,3,462,10.696559
27,4,99,10.742301
28,0,529,10.119142
28,1,17,10.195776
28,2,411,10.385649
28,3,86,10.499442
28,4,0,10.510945
29,0,352,10.996299
29,1,569,12.270938
29,2,478,12.478209
29,3,460,12.546880
