gen_index,rank,real_index,distance
0,0,1125,10.895950
0,1,545,11.766185
0,2,169,11.962104
0,3,798,12.052315
0,4,244,12.258913
1,0,42,10.589878
1,1,253,10.944817
1,2,217,11.013370
1,3,92,11.160435
1,4,1012,11.279889
2,0,677,10.261459
2,1,526,10.526740
2,2,195,10.600039
2,3,862,10.742452
2,4,1206,10.805865
3,0,346,10.070582
3,1,316,10.470108
3,2,281,10.490957
3,3,1178,10.521173
3,4,626,10.558472
4,0,34,11.476421
4,1,833,11.890661
4,2,240,11.978721
4,3,473,12.017047
4,4,81,12.064842
5,0,713,9.619170
5,1,1165,9.677609
5,2,1050,9.702703
5,3,266,9.790412
5,4,431,9.891656
6,0,618,12.006915
6,1,471,12.499175
6,2,847,12.621548
6,3,1147,12.634010
6,4,41,12.721338
7,0,715,10.280660
7,1,526,10.559585
7,2,65,10.806538
7,3,155,10.997006
7,4,17,11.273987
8,0,621,10.500200
8,1,1195,10.928261
8,2,536,10.961596
8,3,361,11.112667
8,4,431,11.145617
9,0,1042,11.350643
9,1,745,11.830034
9,2,1211,11.855228
9,3,542,11.875190
9,4,381,11.950770
10,0,515,11.173443
10,1,1005,11.440354
10,2,1227,11.505598
10,3,1071,11.770124
10,4,128,12.002606
11,0,85,11.449818
11,1,517,11.451217
11,2,1240,11.592943
11,3,950,11.610847
11,4,147,11.666667
12,0,351,9.822273
12,1,1161,9.973543
12,2,1052,10.751703
12,3,470,10.779152
12,4,1119,10.797121
13,0,729,10.761420
13,1,455,11.603451
13,2,1183,11.622456
13,3,457,11.853274
13,4,772,11.997589
14,0,629,9.016650
14,1,1097,9.094220
14,2,809,9.173507
14,3,1165,9.318479
14,4,209,9.345625
15,0,529,9.564015
15,1,1070,9.620014
15,2,631,10.026655
15,3,379,10.119061
15,4,336,10.334783
16,0,872,10.558295
16,1,1097,10.615571
16,2,1275,10.633669
16,3,938,10.736665
16,4,213,10.866249
17,0,1265,10.196429
17,1,1225,10.242208
17,2,1326,10.579082
17,3,467,10.943378
17,4,246,11.017235
18,0,1272,9.680775
18,1,355,9.899501
18,2,455,9.975660
18,3,1212,10.206182
18,4,273,10.275508
19,0,853,9.265638
19,1,211,9.477725
19,2,642,9.650516
19,3,884,9.692564
19,4,366,9.819554
20,0,382,11.311091
20,1,62,11.330797
20,2,887,11.449528
20,3,240,11.467659
20,4,1218,11.534170
21,0,1042,11.015763
21,1,855,11.277500
21,2,830,11.281872
21,3,1265,11.456559
21,4,236,11.483388
22,0,1113,10.326517
22,1,1040,10.526274
22,2,1244,10.860084
22,3,890,10.931536
22,4,422,10.967999
23,0,429,10.847548
23,1,358,10.950556
23,2,643,11.454021
23,3,71,11.521716
23,4,1166,11.521904
24,0,847,10.599478
24,1,213,10.845126
24,2,1147,11.079312
24,3,857,11.134487
24,4,429,11.355070
25,0,653,11.953294
25,1,285,12.107263
25,2,963,12.169613
25,3,1216,12.243065
25,4,1090,12.263575
26,0,739,10.424891
26,1,387,11.218562
26,2,207,11.332088
26,3,71,11.472480
26,4,269,11.704247
27,0,1017,9.396411
27,1,503,10.187700
27,2,1244,10.223125
27,3,408,10.365318
27,4,493,10.375920
28,0,282,4.116416
28,1,450,4.873579
28,2,443,6.221551
28,3,1034,7.794300
28,4,412,8.188678
29,0,379,10.643217
29,1,1337,10.934056
29,2,258,11.001123
29,3,442,11.017553
29,4,987,11.023625
30,0,1161,10.812641
30,1,1052,10.868224
30,2,782,11.372210
30,3,162,11.412712
30,4,472,11.927112
31,0,1117,10.380216
31,1,1042,10.698927
31,2,236,10.875866
31,3,844,11.136921
31,4,670,11.238183
32,0,399,9.562522
32,1,978,10.048643
32,2,1275,10.079047
32,3,297,10.278878
32,4,69,10.447687
33,0,556,11.975020
33,1,542,12.089520
33,2,754,12.141384
33,3,1053,12.161461
33,4,928,12.341109
34,0,28,10.365153
