gen_index,rank,real_index,distance
0,0,306,8.466833
0,1,389,8.872617
0,2,163,9.072913
0,3,143,9.202642
0,4,122,9.208953
1,0,351,11.269271
1,1,269,11.618104
1,2,360,12.008945
1,3,256,12.194815
1,4,77,12.349947
2,0,148,9.042737
2,1,333,9.583321
2,2,79,9.893551
2,3,209,9.942375
2,4,230,9.948728
3,0,360,9.903231
3,1,416,10.627424
3,2,389,10.983338
3,3,129,11.100053
3,4,195,11.195223
4,0,128,9.225208
4,1,265,10.338042
4,2,170,10.467479
4,3,370,10.512185
4,4,148,10.621093
5,0,412,11.178244
5,1,378,11.424298
5,2,150,12.412540
5,3,35,12.703193
5,4,113,12.893570
6,0,399,8.999477
6,1,389,9.487181
6,2,109,9.593528
6,3,273,9.843096
6,4,8,9.935371
7,0,159,9.864051
7,1,154,10.962973
7,2,56,11.119411
7,3,297,11.329798
7,4,214,11.789632
8,0,416,9.271743
8,1,419,9.468392
8,2,404,9.816669
8,3,324,10.250774
8,4,401,10.295989
9,0,168,9.593324
9,1,122,10.221255
9,2,178,10.526766
9,3,389,10.551776
9,4,34,10.738019
10,0,330,12.224298
10,1,132,12.314213
10,2,173,12.637739
10,3,333,12.836916
10,4,365,12.875397
11,0,93,10.703761
11,1,416,11.119372
11,2,341,11.275107
11,3,388,11.322377
11,4,128,11.371353
12,0,122,8.498403
12,1,79,9.207650
12,2,209,9.384065
12,3,287,9.557860
12,4,394,9.685499
13,0,37,9.568922
13,1,205,9.965116
13,2,163,10.000727
13,3,370,10.079869
13,4,102,10.093747
14,0,419,10.423473
14,1,420,10.616239
14,2,89,11.013771
14,3,412,11.272688
14,4,401,11.297380
15,0,102,9.058698
15,1,370,9.343064
15,2,322,9.555828
15,3,337,9.605093
15,4,113,9.702936
16,0,351,9.028269
16,1,399,9.491004
16,2,322,9.746197
16,3,205,9.780030
16,4,239,9.800967
17,0,280,9.455362
17,1,420,9.571326
17,2,398,9.860003
17,3,109,9.880101
17,4,48,9.955071
18,0,366,13.059993
18,1,7,13.201685
18,2,140,14.107988
18,3,268,14.558110
18,4,166,14.599811
19,0,29,9.424874
19,1,161,9.947657
19,2,388,10.106814
19,3,244,10.246102
19,4,158,10.311861
20,0,350,9.068294
20,1,404,9.196384
20,2,416,9.663807
20,3,232,9.841698
20,4,289,9.906013
21,0,306,9.176692
21,1,113,9.374551
21,2,322,9.754672
21,3,102,9.842702
21,4,389,9.989615
22,0,118,9.998703
22,1,330,10.183434
22,2,56,11.283460
22,3,148,11.415501
22,4,297,11.425858
23,0,370,13.010358
23,1,102,13.246966
23,2,170,13.264840
23,3,128,13.506845
23,4,337,13.613871
24,0,128,9.940583
24,1,143,10.417984
24,2,163,10.643147
24,3,122,10.703177
24,4,102,11.013480
25,0,129,9.313810
25,1,322,9.511198
25,2,387,9.526638
25,3,342,10.077746
25,4,324,10.153401
26,0,89,13.488598
26,1,151,13.692460
26,2,289,13.713486
26,3,182,14.008654
26,4,97,14.170985
27,0,15,11.296593
27,1,134,11.336215
27,2,360,11.410045
27,3,206,11.583806
27,4,416,11.594675
28,0,342,10.561009
28,1,269,10.791995
28,2,128,11.046135
28,3,157,11.219226
28,4,89,11.248837
29,0,128,8.562785
29,1,322,11.230231
29,2,401,11.404211
29,3,143,11.528823
29,4,48,11.574910
30,0,337,11.379700
30,1,286,12.018716
30,2,148,12.553722
30,3,403,12.646987
30,4,322,12.664094
31,0,360,9.797827
31,1,265,10.615546
31,2,337,10.844004
31,3,268,10.860224
31,4,170,11.069136
32,0,353,9.991436
32,1,104,10.345125
32,2,24,10.544908
32,3,256,10.995932
32,4,342,11.179557
33,0,351,8.989231
33,1,399,9.113786
33,2,113,9.498442
33,3,419,9.580689
33,4,205,9.632496
34,0,148,10.166489
34,1,132,10.809341
34,2,330,11.254889
34,3,292,11.451766
34,4,333,11.822682
35,0,246,9.952285
35,1,351,10.180983
35,2,256,10.283829
35,3,420,10.465628
35,4,419,10.488304
36,0,134,9.878836
36,1,206,9.901973
36,2,195,10.026390
36,3,312,10.173190
36,4,198,10.192145
37,0,322,7.501822
37,1,163,7.745362
37,2,370,7.820188
37,3,128,8.454982
37,4,209,8.472214
38,0,330,10.687735
38,1,30,10.884629
38,2,56,11.000233
38,3,106,11.018320
38,4,214,11.053675
39,0,370,8.243728
39,1,322,8.767414
39,2,163,8.867067
39,3,113,9.464740
39,4,71,9.705285
40,0,128,9.823777
