gen_index,rank,real_index,distance
0,0,262,4.720787
0,1,756,5.078269
0,2,279,5.111754
0,3,22,5.154362
0,4,106,5.241332
1,0,790,4.000000
1,1,629,4.102374
1,2,779,4.123224
1,3,13,4.270912
1,4,204,4.287490
2,0,101,6.181006
2,1,509,7.173645
2,2,100,7.210845
2,3,740,7.219917
2,4,694,7.345105
3,0,392,4.688454
3,1,461,4.895898
3,2,286,5.133954
3,3,566,5.193600
3,4,160,5.265550
4,0,160,4.716227
4,1,484,5.089363
4,2,269,5.179137
4,3,114,5.261877
4,4,790,5.391644
5,0,9,5.643773
5,1,504,5.680176
5,2,214,5.755498
5,3,239,5.756583
5,4,640,5.772581
6,0,497,2.485480
6,1,75,2.923974
6,2,155,2.976763
6,3,544,3.028787
6,4,102,3.060122
7,0,168,5.882647
7,1,424,5.890635
7,2,446,5.901773
7,3,127,5.927798
7,4,534,5.935583
8,0,770,8.938338
8,1,696,9.017199
8,2,312,9.084419
8,3,124,9.123762
8,4,769,9.317284
9,0,481,11.559263
9,1,562,12.375488
9,2,471,12.516829
9,3,545,12.589332
9,4,584,12.599337
10,0,518,2.476667
10,1,808,2.867789
10,2,123,2.930781
10,3,749,2.954613
10,4,82,2.997252
11,0,786,5.311816
11,1,613,5.536423
11,2,93,5.558691
11,3,18,5.678570
11,4,262,5.764529
12,0,545,7.268279
12,1,509,8.308482
12,2,471,8.325655
12,3,610,8.344295
12,4,584,8.444424
13,0,262,5.708650
13,1,741,5.803305
13,2,93,6.027833
13,3,815,6.059590
13,4,653,6.162721
14,0,671,5.534956
14,1,307,5.710275
14,2,841,6.575383
14,3,417,6.590764
14,4,262,6.636718
15,0,492,11.456358
15,1,776,11.489592
15,2,312,11.540342
15,3,736,11.541595
15,4,752,11.639533
16,0,436,11.496244
16,1,45,12.163952
16,2,608,12.322819
16,3,182,12.391711
16,4,339,12.533949
17,0,206,7.089118
17,1,685,7.143567
17,2,456,7.155768
17,3,221,7.198357
17,4,119,7.205472
18,0,19,6.636577
18,1,696,6.839077
18,2,8,7.065233
18,3,511,7.171062
18,4,258,7.209259
19,0,725,11.188406
19,1,674,11.209100
19,2,197,11.606115
19,3,343,11.623923
19,4,2,11.634035
20,0,243,6.349549
20,1,456,6.927758
20,2,15,7.109778
20,3,168,7.181880
20,4,601,7.312621
21,0,344,2.952970
21,1,722,3.074544
21,2,778,3.164299
21,3,368,3.188653
21,4,226,3.208199
22,0,238,4.495630
22,1,546,4.936205
22,2,392,4.960230
22,3,691,5.002044
22,4,756,5.055937
23,0,129,2.331805
23,1,16,2.359207
23,2,655,3.407688
23,3,698,3.425993
23,4,109,3.439355
24,0,363,3.691801
24,1,754,3.724539
24,2,380,3.920529
24,3,332,3.923656
24,4,561,3.991018
25,0,160,4.182866
25,1,461,4.522591
25,2,572,4.572075
25,3,61,4.609150
25,4,369,4.674363
26,0,85,3.494179
26,1,810,3.782154
26,2,216,3.812140
26,3,840,3.941396
26,4,43,3.973507
