Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.9684 ± 0.0250,0.8889 ± 0.0645,0.9531 ± 0.0354,0.8777 ± 0.0634,0.9091 ± 0.0527
Dirichlet (0.5),0.9,0.9608 ± 0.0285,0.8756 ± 0.0739,0.9679 ± 0.0241,0.8442 ± 0.0881,0.8956 ± 0.0622
Dirichlet (0.1),0.9,0.9581 ± 0.0329,0.8778 ± 0.0725,0.9656 ± 0.0247,0.8515 ± 0.0832,0.8983 ± 0.0593
Dirichlet (0.01),0.9,0.9630 ± 0.0298,0.8667 ± 0.0802,0.9652 ± 0.0264,0.8345 ± 0.0937,0.8878 ± 0.0668
