Scenario,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.4083 ± 0.0259,0.4956 ± 0.0921,0.5042 ± 0.1778,0.7265 ± 0.0230,0.5448 ± 0.1119
Dirichlet (0.5),0.3806 ± 0.0773,0.4614 ± 0.0246,0.3546 ± 0.0785,0.5393 ± 0.2115,0.3676 ± 0.0357
Dirichlet (0.1),0.3235 ± 0.0183,0.4404 ± 0.0421,0.1720 ± 0.0285,0.3410 ± 0.1885,0.2188 ± 0.0709
Dirichlet (0.01),0.2978 ± 0.0313,0.5061 ± 0.0991,0.2296 ± 0.0309,0.2016 ± 0.0121,0.1646 ± 0.0493
