Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.9860 ± 0.0064,0.9400 ± 0.0249,0.9417 ± 0.0255,0.9400 ± 0.0249,0.9399 ± 0.0250
Dirichlet (0.5),0.0,0.9863 ± 0.0052,0.9333 ± 0.0298,0.9355 ± 0.0301,0.9333 ± 0.0298,0.9332 ± 0.0299
Dirichlet (0.1),0.0,0.9890 ± 0.0042,0.9333 ± 0.0298,0.9355 ± 0.0301,0.9333 ± 0.0298,0.9332 ± 0.0299
Dirichlet (0.01),0.0,0.9933 ± 0.0056,0.9400 ± 0.0249,0.9439 ± 0.0252,0.9400 ± 0.0249,0.9398 ± 0.0250
