Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.6405 ± 0.1073,0.6187 ± 0.0920,0.6953 ± 0.0456,0.4642 ± 0.1304,0.5358 ± 0.0835
Dirichlet (0.5),0.0,0.6452 ± 0.1042,0.6183 ± 0.0802,0.6704 ± 0.0509,0.5095 ± 0.1297,0.5595 ± 0.0679
Dirichlet (0.1),0.0,0.6488 ± 0.1029,0.6225 ± 0.0912,0.7009 ± 0.0538,0.4738 ± 0.1446,0.5442 ± 0.0876
Dirichlet (0.01),0.0,0.6487 ± 0.0981,0.6168 ± 0.0931,0.6798 ± 0.0384,0.4800 ± 0.1389,0.5438 ± 0.0855
