Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.7590 ± 0.1353,0.6583 ± 0.1519,0.9478 ± 0.0874,0.5809 ± 0.2253,0.6931 ± 0.2009
Dirichlet (0.5),0.9,0.7821 ± 0.1328,0.6884 ± 0.1376,0.9315 ± 0.1097,0.6277 ± 0.2001,0.7308 ± 0.1809
Dirichlet (0.1),0.9,0.7729 ± 0.1456,0.6703 ± 0.1637,0.9243 ± 0.1318,0.6146 ± 0.2135,0.7184 ± 0.1871
Dirichlet (0.01),0.9,0.7686 ± 0.1399,0.6569 ± 0.1730,0.9380 ± 0.1060,0.5838 ± 0.2327,0.6962 ± 0.1993
