Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.9871 ± 0.0001,0.9500 ± 0.0079,0.9570 ± 0.0069,0.9386 ± 0.0099,0.9465 ± 0.0088
Dirichlet (0.5),0.9,0.9883 ± 0.0007,0.9526 ± 0.0140,0.9658 ± 0.0088,0.9379 ± 0.0070,0.9509 ± 0.0011
Dirichlet (0.1),0.9,0.9877 ± 0.0032,0.9456 ± 0.0105,0.9513 ± 0.0166,0.9376 ± 0.0029,0.9429 ± 0.0079
Dirichlet (0.01),0.9,0.9845 ± 0.0043,0.9421 ± 0.0175,0.9569 ± 0.0032,0.9283 ± 0.0013,0.9408 ± 0.0021
