Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.9960 ± 0.0039,0.9400 ± 0.0389,0.9438 ± 0.0381,0.9400 ± 0.0389,0.9397 ± 0.0390
Dirichlet (0.5),0.9,0.9925 ± 0.0071,0.9333 ± 0.0422,0.9395 ± 0.0390,0.9333 ± 0.0422,0.9328 ± 0.0426
Dirichlet (0.1),0.9,0.9918 ± 0.0072,0.9400 ± 0.0389,0.9438 ± 0.0381,0.9400 ± 0.0389,0.9397 ± 0.0390
Dirichlet (0.01),0.9,0.9925 ± 0.0071,0.9267 ± 0.0249,0.9327 ± 0.0264,0.9267 ± 0.0249,0.9263 ± 0.0250
