Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.8216 ± 0.0240,0.7962 ± 0.0352,0.7667 ± 0.0599,0.6740 ± 0.0492,0.7164 ± 0.0472
Dirichlet (0.5),0.0,0.8254 ± 0.0234,0.7901 ± 0.0358,0.7492 ± 0.0665,0.6860 ± 0.0484,0.7143 ± 0.0437
Dirichlet (0.1),0.0,0.8206 ± 0.0238,0.7878 ± 0.0344,0.7420 ± 0.0524,0.6840 ± 0.0516,0.7109 ± 0.0464
Dirichlet (0.01),0.0,0.8265 ± 0.0240,0.7916 ± 0.0326,0.7581 ± 0.0654,0.6760 ± 0.0500,0.7125 ± 0.0410
