Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.9865 ± 0.0020,0.9456 ± 0.0105,0.9432 ± 0.0144,0.9424 ± 0.0031,0.9416 ± 0.0093
Dirichlet (0.5),0.0,0.9841 ± 0.0003,0.9386 ± 0.0070,0.9306 ± 0.0228,0.9363 ± 0.0076,0.9325 ± 0.0154
Dirichlet (0.1),0.0,0.9848 ± 0.0027,0.9351 ± 0.0175,0.9440 ± 0.0126,0.9237 ± 0.0059,0.9323 ± 0.0042
Dirichlet (0.01),0.0,0.9848 ± 0.0038,0.9333 ± 0.0263,0.9482 ± 0.0033,0.9209 ± 0.0132,0.9330 ± 0.0046
