Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.6544 ± 0.0087,0.6206 ± 0.0191,0.6201 ± 0.0721,0.6181 ± 0.0092,0.5898 ± 0.0341
Dirichlet (0.5),0.9,0.6313 ± 0.0218,0.6053 ± 0.0198,0.5991 ± 0.0664,0.6499 ± 0.0197,0.5875 ± 0.0453
Dirichlet (0.1),0.9,0.6349 ± 0.0097,0.6198 ± 0.0031,0.5934 ± 0.0850,0.6745 ± 0.0174,0.6204 ± 0.0608
Dirichlet (0.01),0.9,0.6466 ± 0.0004,0.6393 ± 0.0187,0.6040 ± 0.0978,0.6929 ± 0.0566,0.6354 ± 0.0840
