Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.8072 ± 0.0284,0.7885 ± 0.0263,0.7586 ± 0.0338,0.6580 ± 0.0941,0.7005 ± 0.0535
Dirichlet (0.5),0.9,0.8099 ± 0.0212,0.7779 ± 0.0298,0.7531 ± 0.0705,0.6460 ± 0.0864,0.6880 ± 0.0398
Dirichlet (0.1),0.9,0.8077 ± 0.0305,0.7924 ± 0.0282,0.7800 ± 0.0520,0.6460 ± 0.0989,0.7000 ± 0.0551
Dirichlet (0.01),0.9,0.8066 ± 0.0166,0.7840 ± 0.0206,0.7693 ± 0.0448,0.6280 ± 0.0682,0.6877 ± 0.0379
