Scenario,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.6349 ± 0.0886,0.4600 ± 0.0660,0.5075 ± 0.1048,0.3784 ± 0.0930,0.4125 ± 0.0818
Dirichlet (0.5),0.6293 ± 0.0489,0.6089 ± 0.0457,0.6945 ± 0.0462,0.5897 ± 0.0788,0.6020 ± 0.0949
Dirichlet (0.1),0.6668 ± 0.1064,0.5844 ± 0.1105,0.6093 ± 0.0759,0.5241 ± 0.1549,0.5477 ± 0.1262
Dirichlet (0.01),0.6687 ± 0.0794,0.6400 ± 0.1043,0.7455 ± 0.0629,0.6379 ± 0.1126,0.6731 ± 0.0917
