Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.9145 ± 0.0878,0.8442 ± 0.1035,0.9472 ± 0.0853,0.8143 ± 0.1454,0.8733 ± 0.1207
Dirichlet (0.5),0.0,0.9170 ± 0.0925,0.8514 ± 0.1083,0.9486 ± 0.0835,0.8192 ± 0.1547,0.8761 ± 0.1261
Dirichlet (0.1),0.0,0.9162 ± 0.0983,0.8539 ± 0.1128,0.9488 ± 0.0846,0.8193 ± 0.1638,0.8754 ± 0.1325
Dirichlet (0.01),0.0,0.9147 ± 0.1015,0.8533 ± 0.1133,0.9500 ± 0.0811,0.8165 ± 0.1676,0.8740 ± 0.1345
