Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.6008 ± 0.0030,0.5436 ± 0.0469,0.6154 ± 0.2684,0.5183 ± 0.1296,0.4749 ± 0.0449
Dirichlet (0.5),0.9,0.6480 ± 0.0199,0.6158 ± 0.0219,0.6300 ± 0.2581,0.5537 ± 0.0213,0.5343 ± 0.1264
Dirichlet (0.1),0.9,0.5978 ± 0.0131,0.5825 ± 0.0959,0.6290 ± 0.2648,0.4341 ± 0.0602,0.4506 ± 0.0604
Dirichlet (0.01),0.9,0.5839 ± 0.0306,0.5128 ± 0.0285,0.6117 ± 0.3008,0.5084 ± 0.1461,0.4572 ± 0.0417
