Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.9974 ± 0.0027,0.9737 ± 0.0111,0.9859 ± 0.0126,0.9720 ± 0.0088,0.9788 ± 0.0089
Dirichlet (0.5),0.0,0.9982 ± 0.0018,0.9825 ± 0.0096,0.9888 ± 0.0104,0.9832 ± 0.0105,0.9859 ± 0.0077
Dirichlet (0.1),0.0,0.9974 ± 0.0031,0.9754 ± 0.0086,0.9860 ± 0.0088,0.9748 ± 0.0163,0.9802 ± 0.0070
Dirichlet (0.01),0.0,0.9969 ± 0.0036,0.9719 ± 0.0116,0.9858 ± 0.0090,0.9691 ± 0.0163,0.9773 ± 0.0094
