Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.9,0.9933 ± 0.0101,0.9754 ± 0.0140,0.9886 ± 0.0107,0.9720 ± 0.0125,0.9802 ± 0.0113
Dirichlet (0.5),0.9,0.9951 ± 0.0061,0.9772 ± 0.0131,0.9887 ± 0.0106,0.9748 ± 0.0137,0.9816 ± 0.0105
Dirichlet (0.1),0.9,0.9926 ± 0.0059,0.9789 ± 0.0089,0.9887 ± 0.0056,0.9776 ± 0.0142,0.9831 ± 0.0072
Dirichlet (0.01),0.9,0.9927 ± 0.0059,0.9772 ± 0.0153,0.9914 ± 0.0070,0.9719 ± 0.0198,0.9815 ± 0.0125
