Scenario,Momentum,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.0,0.9832 ± 0.0185,0.9333 ± 0.0484,0.9671 ± 0.0237,0.9315 ± 0.0616,0.9458 ± 0.0421
Dirichlet (0.5),0.0,0.9820 ± 0.0189,0.9244 ± 0.0529,0.9674 ± 0.0234,0.9186 ± 0.0674,0.9373 ± 0.0483
Dirichlet (0.1),0.0,0.9832 ± 0.0164,0.9289 ± 0.0469,0.9627 ± 0.0311,0.9292 ± 0.0457,0.9434 ± 0.0392
Dirichlet (0.01),0.0,0.9736 ± 0.0291,0.9089 ± 0.0741,0.9393 ± 0.0577,0.9253 ± 0.0580,0.9277 ± 0.0616
