Scenario,AUROC,Accuracy,Precision,Recall,F1-Score
IID,0.5921 ± 0.0831,0.4729 ± 0.0995,0.9198 ± 0.1130,0.3993 ± 0.1043,0.5180 ± 0.1195
Dirichlet (0.5),0.6204 ± 0.0912,0.5469 ± 0.1605,0.8904 ± 0.1123,0.4874 ± 0.1803,0.5963 ± 0.1756
Dirichlet (0.1),0.5459 ± 0.0828,0.4313 ± 0.1235,0.8498 ± 0.1632,0.3708 ± 0.1121,0.4872 ± 0.1391
Dirichlet (0.01),0.6029 ± 0.0490,0.4275 ± 0.1212,0.9225 ± 0.1097,0.3399 ± 0.1246,0.4700 ± 0.1292
