Dataset,Partition,N_Seeds,Test Accuracy,AUROC,F1,Precision,Recall
cifar,Silos,5,84.30 ± 0.66,98.24 ± 0.13,84.23 ± 0.65,84.52 ± 0.65,84.30 ± 0.66
fed_isic2019,Silos,5,62.08 ± 0.59,84.98 ± 0.57,44.80 ± 1.14,50.49 ± 1.65,44.66 ± 0.89
medmnist:bloodmnist,Silos,5,91.17 ± 0.26,99.04 ± 0.06,89.48 ± 0.44,91.92 ± 0.37,88.54 ± 0.58
medmnist:pathmnist,Silos,5,67.94 ± 3.84,93.60 ± 1.07,61.60 ± 3.81,76.69 ± 1.47,61.17 ± 3.45
medmnist:retinamnist,Silos,5,46.75 ± 1.29,70.29 ± 1.06,28.11 ± 1.52,29.72 ± 3.81,28.88 ± 1.14
