gen_index,rank,real_index,distance
0,0,805,10.764273
0,1,967,10.891931
0,2,67,10.893502
0,3,920,11.145215
0,4,498,11.252314
1,0,704,11.771888
1,1,530,11.913371
1,2,768,12.015973
1,3,21,12.072985
1,4,624,12.336823
2,0,636,12.746429
2,1,634,13.629345
2,2,512,13.826271
2,3,443,13.916459
2,4,923,13.970832
3,0,504,13.275815
3,1,268,13.469398
3,2,237,13.699933
3,3,150,13.823260
3,4,510,13.876406
4,0,148,13.239862
4,1,625,14.235475
4,2,823,14.303960
4,3,555,14.472707
4,4,106,14.935984
5,0,641,14.289124
5,1,998,14.296144
5,2,417,14.377681
5,3,481,14.410424
5,4,727,14.561959
6,0,97,10.583219
6,1,788,10.600886
6,2,463,10.664892
6,3,804,10.781882
6,4,920,10.818060
7,0,530,10.904596
7,1,923,11.247922
7,2,809,11.476363
7,3,277,11.891909
7,4,544,12.116520
8,0,315,14.101569
8,1,523,14.321355
8,2,507,14.657450
8,3,960,14.914766
8,4,555,14.980317
9,0,530,12.473510
9,1,823,12.724135
9,2,236,12.821110
9,3,852,13.087936
9,4,922,13.119679
10,0,693,12.977802
10,1,507,13.041976
10,2,386,13.866827
10,3,525,14.067007
10,4,809,14.084603
11,0,693,12.698545
11,1,276,13.657099
11,2,932,13.675707
11,3,530,13.723674
11,4,544,13.730586
12,0,67,9.308583
12,1,967,9.727180
12,2,805,9.762180
12,3,804,10.008787
12,4,604,10.026450
13,0,67,11.354888
13,1,914,11.433477
13,2,923,11.775082
13,3,277,11.804403
13,4,544,11.955954
14,0,907,15.060735
14,1,311,15.119075
14,2,498,15.239392
14,3,212,15.313281
14,4,54,15.391287
15,0,153,10.913291
15,1,542,11.731851
15,2,102,11.797485
15,3,503,12.115281
15,4,623,12.234169
16,0,542,12.683468
16,1,639,12.985097
16,2,51,13.049728
16,3,381,13.287556
16,4,625,13.329758
17,0,407,8.929344
17,1,45,8.950211
17,2,67,9.558315
17,3,967,9.633006
17,4,604,9.675705
18,0,69,12.088305
18,1,268,12.238442
18,2,704,12.332637
18,3,768,12.553876
18,4,833,12.620208
19,0,923,9.914475
19,1,544,10.090560
19,2,914,10.116641
19,3,967,10.772234
19,4,805,10.825995
20,0,153,13.463751
20,1,437,13.707485
20,2,920,13.830191
20,3,907,13.837903
20,4,530,13.853806
21,0,835,9.550896
21,1,505,9.831171
21,2,805,11.189990
