gen_index,rank,real_index,distance
0,0,631,7.756070
0,1,199,7.993230
0,2,482,8.019423
0,3,953,8.129435
0,4,788,8.139111
1,0,28,9.718650
1,1,326,9.788617
1,2,719,9.808848
1,3,3,10.186080
1,4,550,10.231193
2,0,471,12.286223
2,1,625,13.014971
2,2,814,13.175336
2,3,529,13.202464
2,4,607,13.256171
3,0,640,8.543232
3,1,580,8.557947
3,2,574,8.827310
3,3,94,9.131058
3,4,326,9.263062
4,0,314,11.491725
4,1,442,11.933143
4,2,916,11.984416
4,3,640,12.041761
4,4,574,12.104921
5,0,122,11.802960
5,1,808,11.890658
5,2,702,11.912172
5,3,507,12.076677
5,4,878,12.145706
6,0,789,9.896585
6,1,878,10.472635
6,2,307,10.662122
6,3,352,10.726155
6,4,90,10.912950
7,0,653,11.623950
7,1,706,11.839738
7,2,219,12.504533
7,3,232,12.529974
7,4,968,12.616356
8,0,874,14.626579
8,1,600,14.826689
8,2,204,15.071177
8,3,278,15.149260
8,4,456,15.336474
9,0,503,13.224064
9,1,668,13.819666
9,2,278,13.986232
9,3,844,14.105323
9,4,133,14.212361
10,0,968,12.167269
10,1,505,12.345164
10,2,380,12.470431
10,3,147,12.926970
10,4,934,13.169771
11,0,851,11.337165
11,1,802,11.441771
11,2,90,11.531028
11,3,418,11.645283
11,4,896,11.850002
12,0,561,11.015539
12,1,410,11.226364
12,2,934,11.312311
12,3,742,11.419075
12,4,850,11.462418
13,0,482,9.642872
13,1,340,9.745520
13,2,719,9.767897
13,3,779,10.121635
13,4,199,10.169163
14,0,714,14.645006
14,1,288,16.731169
14,2,446,16.937420
14,3,500,17.050201
14,4,278,17.107662
15,0,378,8.966024
15,1,317,9.228051
15,2,181,9.710261
15,3,961,9.857010
15,4,772,9.898805
16,0,408,12.498994
16,1,315,13.019488
16,2,126,13.110120
16,3,219,13.187672
16,4,653,13.235367
17,0,789,10.929296
17,1,258,11.046555
17,2,633,11.413573
17,3,90,11.530761
17,4,414,11.542423
18,0,126,12.608417
18,1,549,13.001762
18,2,598,13.235201
18,3,574,13.714941
18,4,918,13.767327
19,0,176,12.554194
19,1,286,12.956953
19,2,136,13.006993
19,3,780,13.236626
19,4,734,13.341463
20,0,204,13.481863
20,1,859,14.125681
20,2,460,14.150843
20,3,534,14.187672
20,4,668,14.351407
21,0,809,12.847727
21,1,66,13.552825
21,2,556,14.113065
21,3,136,14.180873
21,4,369,14.294412
22,0,561,13.148677
22,1,844,13.791658
22,2,637,13.967107
22,3,591,14.100409
22,4,285,14.186337
23,0,130,12.619415
23,1,507,13.316167
23,2,440,13.402737
23,3,686,13.704858
23,4,360,13.705976
24,0,653,13.865286
24,1,408,14.194399
24,2,410,14.347013
24,3,224,14.455496
24,4,722,14.571116
25,0,391,10.414432
25,1,622,10.584476
