gen_index,rank,real_index,distance
0,0,105,8.120225
0,1,184,8.759081
0,2,14,8.842594
0,3,59,8.881796
0,4,151,8.897076
1,0,227,8.768994
1,1,116,8.856374
1,2,24,9.339607
1,3,198,9.374977
1,4,174,9.408475
2,0,185,8.618834
2,1,149,8.698699
2,2,122,8.827686
2,3,128,9.095076
2,4,76,9.100030
3,0,11,10.465234
3,1,175,10.707609
3,2,217,11.638803
3,3,154,11.668708
3,4,200,11.814877
4,0,136,6.895026
4,1,228,7.051204
4,2,200,7.347344
4,3,151,7.404474
4,4,82,7.431190
5,0,37,7.038538
5,1,136,7.242761
5,2,82,7.840812
5,3,200,7.878340
5,4,228,7.914259
6,0,136,6.549825
6,1,228,6.733523
6,2,43,6.864067
6,3,217,6.971399
6,4,82,7.144282
7,0,238,8.021330
7,1,222,8.385477
7,2,21,8.473231
7,3,155,8.480827
7,4,220,8.603737
8,0,154,11.413317
8,1,79,11.810452
8,2,0,12.364766
8,3,108,12.481226
8,4,242,12.510504
9,0,175,8.570786
9,1,160,8.832320
9,2,79,8.971683
9,3,108,9.100788
9,4,17,9.196318
10,0,184,8.582660
10,1,163,8.711071
10,2,14,9.124020
10,3,105,9.353778
10,4,209,9.374030
11,0,182,8.637276
11,1,240,9.107864
11,2,149,9.120350
11,3,4,9.298523
11,4,159,9.348857
12,0,136,8.144789
12,1,200,8.499106
12,2,87,8.588426
12,3,211,8.998569
12,4,37,9.020573
13,0,0,8.983044
13,1,78,9.683054
13,2,41,10.102471
13,3,108,10.130090
13,4,16,10.177711
14,0,17,9.364701
14,1,43,9.532307
14,2,65,9.583680
14,3,115,9.623119
14,4,136,9.748416
15,0,16,9.331635
15,1,108,9.688240
15,2,81,9.731277
15,3,88,10.023724
15,4,41,10.157911
16,0,163,7.715412
16,1,122,7.822150
16,2,76,7.861957
16,3,59,7.974313
16,4,62,8.135274
17,0,175,11.672333
17,1,26,11.707726
17,2,43,11.957278
17,3,217,12.131298
17,4,240,12.215140
18,0,122,8.041632
18,1,40,8.426298
18,2,76,8.832998
18,3,222,8.838621
18,4,128,8.982167
19,0,108,7.238558
19,1,65,7.704927
19,2,5,7.940959
19,3,49,8.072392
19,4,17,8.088884
20,0,154,9.280668
20,1,160,9.397980
20,2,175,10.086337
20,3,17,10.181019
20,4,1,10.202954
21,0,37,8.977722
21,1,136,9.133133
21,2,82,9.244908
21,3,43,9.368833
