gen_index,rank,real_index,distance
0,0,172,10.726687
0,1,139,10.888789
0,2,75,11.108685
0,3,36,11.164317
0,4,220,11.228392
1,0,99,10.071252
1,1,185,10.648715
1,2,60,10.798788
1,3,93,10.949416
1,4,73,11.102962
2,0,34,8.936517
2,1,52,9.253057
2,2,68,10.119507
2,3,159,10.347717
2,4,70,10.611006
3,0,68,10.743503
3,1,4,11.416963
3,2,139,11.436339
3,3,52,11.583922
3,4,101,11.596429
4,0,11,8.814135
4,1,105,9.815031
4,2,21,10.149664
4,3,108,10.316799
4,4,225,10.384937
5,0,152,8.178281
5,1,242,8.978877
5,2,158,9.026988
5,3,134,9.177749
5,4,10,9.278566
6,0,24,11.096833
6,1,165,11.168796
6,2,22,11.202626
6,3,51,11.206568
6,4,135,11.318398
7,0,52,11.106490
7,1,159,11.121943
7,2,34,11.203838
7,3,4,11.250569
7,4,77,11.363993
8,0,200,12.096970
8,1,37,12.400742
8,2,7,12.979161
8,3,6,13.056303
8,4,190,13.164895
9,0,209,12.060329
9,1,37,12.471347
9,2,136,13.077889
9,3,146,13.394056
9,4,200,13.467329
10,0,131,8.850039
10,1,17,9.119032
10,2,10,9.322889
10,3,21,9.479946
10,4,139,9.506307
11,0,68,10.706917
11,1,52,10.806323
11,2,180,11.083978
11,3,105,11.269623
11,4,139,11.327040
12,0,34,12.103517
12,1,187,12.170493
12,2,52,12.259052
12,3,159,12.295510
12,4,70,13.513337
13,0,52,10.558604
13,1,70,11.830039
13,2,34,11.831608
13,3,139,12.177004
13,4,68,12.256344
14,0,24,8.602392
14,1,225,9.085591
14,2,17,9.103370
14,3,191,9.397243
14,4,96,9.512924
15,0,152,10.204465
15,1,134,10.440052
15,2,165,10.656777
15,3,52,10.686098
15,4,22,10.706301
16,0,72,11.338554
16,1,160,11.571718
16,2,165,11.657210
16,3,60,11.961688
16,4,207,12.003946
17,0,52,12.169337
17,1,34,12.350930
17,2,67,12.389014
17,3,4,12.451878
17,4,70,12.864111
18,0,17,8.423560
18,1,131,8.446877
18,2,175,8.803623
18,3,140,8.909549
18,4,134,8.945033
19,0,34,10.027270
19,1,105,10.801945
19,2,21,11.052852
19,3,70,11.149611
19,4,68,11.171749
20,0,34,11.416888
20,1,4,11.814812
20,2,157,12.432852
20,3,139,12.500847
20,4,153,12.692990
21,0,52,10.169606
21,1,70,11.140220
21,2,139,11.167416
21,3,34,11.335614
21,4,68,11.759917
22,0,134,9.593407
22,1,52,9.669827
22,2,67,9.908526
22,3,148,9.969059
22,4,68,10.282333
23,0,172,9.735870
23,1,208,10.100163
23,2,235,10.146741
23,3,199,10.671732
23,4,135,10.800275
24,0,130,9.350117
24,1,76,9.603371
24,2,135,10.019305
24,3,198,10.218502
24,4,192,10.221820
25,0,52,10.572409
25,1,180,11.151188
25,2,68,11.318050
25,3,139,11.431447
25,4,134,11.456922
26,0,236,10.966273
26,1,206,11.002280
26,2,45,11.065248
26,3,130,11.139973
26,4,2,11.295341
27,0,165,11.760872
27,1,134,11.944576
27,2,68,12.297434
27,3,131,12.309999
27,4,239,12.355683
28,0,131,9.528932
28,1,18,9.755970
28,2,161,9.938716
28,3,45,10.009478
28,4,12,10.034304
29,0,131,8.042007
29,1,112,8.524519
29,2,17,8.795858
29,3,175,8.807536
29,4,101,8.852445
30,0,172,11.998729
30,1,220,12.267060
30,2,10,12.718232
30,3,231,12.763086
30,4,36,12.797178
31,0,76,10.411102
31,1,235,10.805693
31,2,126,10.812615
31,3,192,11.022361
31,4,170,11.033563
32,0,10,8.601953
32,1,235,8.889052
32,2,131,8.985106
32,3,135,9.104700
32,4,218,9.288836
33,0,99,9.056787
33,1,25,10.547474
33,2,144,10.665364
33,3,60,10.834168
33,4,190,10.873502
34,0,36,11.393101
34,1,144,11.531226
34,2,172,11.693676
34,3,135,11.887303
34,4,75,12.111741
35,0,60,9.615051
35,1,227,10.175570
35,2,118,10.229051
35,3,130,10.462877
35,4,8,10.485193
36,0,144,10.809339
36,1,1,11.774910
36,2,172,11.916019
36,3,136,11.942075
36,4,93,12.024755
37,0,76,10.000519
37,1,192,10.278590
37,2,190,10.361234
37,3,206,10.476583
37,4,144,10.670620
38,0,48,9.475175
38,1,10,9.560310
38,2,34,9.630994
38,3,97,9.715961
38,4,134,9.743002
39,0,131,8.865756
39,1,126,9.348393
39,2,112,9.414007
39,3,17,9.416915
39,4,10,9.528070
40,0,134,9.518986
40,1,24,9.551544
40,2,10,9.838531
40,3,165,9.872759
40,4,161,9.911541
