gen_index,rank,real_index,distance
0,0,327,11.844144
0,1,408,11.861254
0,2,248,11.913204
0,3,396,12.060005
0,4,308,12.167812
1,0,70,10.164144
1,1,107,10.275407
1,2,1,10.401034
1,3,289,10.502490
1,4,71,10.610045
2,0,50,8.642966
2,1,211,8.672829
2,2,366,9.691475
2,3,460,10.153434
2,4,202,10.581067
3,0,466,11.263170
3,1,248,11.434714
3,2,259,11.844765
3,3,268,12.121667
3,4,109,12.387581
4,0,104,10.614620
4,1,402,10.711433
4,2,301,10.824509
4,3,203,10.841969
4,4,207,10.927071
5,0,294,9.610763
5,1,257,9.803788
5,2,303,10.023867
5,3,240,10.052098
5,4,319,10.442226
6,0,284,8.791253
6,1,437,8.925141
6,2,289,9.605551
6,3,366,10.180920
6,4,187,10.231378
7,0,370,8.699418
7,1,362,10.328072
7,2,308,10.456867
7,3,445,10.563583
7,4,166,10.640427
8,0,386,10.380705
8,1,166,10.472093
8,2,367,10.597575
8,3,287,10.605448
8,4,169,10.619691
9,0,289,9.175903
9,1,16,9.320617
9,2,343,9.422264
9,3,139,9.612668
9,4,232,9.795168
10,0,211,10.647225
10,1,170,10.851236
10,2,346,11.254171
10,3,384,11.477573
10,4,255,11.503781
11,0,50,8.798759
11,1,428,8.972699
11,2,35,9.113006
11,3,288,9.236444
11,4,302,9.361732
12,0,244,9.957423
12,1,380,10.461965
12,2,385,10.541862
12,3,142,10.720885
12,4,288,11.036445
13,0,282,9.008378
13,1,102,9.664426
13,2,129,10.150945
13,3,187,10.196734
13,4,383,10.250143
14,0,72,9.928052
14,1,373,9.999972
14,2,333,10.004430
14,3,61,10.091249
14,4,121,10.171977
15,0,289,11.135710
15,1,82,11.423029
15,2,217,11.552704
15,3,84,11.590565
15,4,151,11.659096
16,0,232,9.134977
16,1,441,9.247769
16,2,295,9.248631
16,3,29,9.413337
16,4,100,9.441900
17,0,71,10.678913
17,1,198,10.926652
17,2,383,10.992229
17,3,248,11.048505
17,4,404,11.228941
18,0,226,9.445215
18,1,362,9.721811
18,2,253,9.842575
18,3,333,9.933169
18,4,456,10.018102
19,0,45,9.571330
19,1,376,10.384861
19,2,276,10.453259
19,3,17,10.727663
19,4,355,10.769780
20,0,198,9.452130
20,1,248,10.034961
20,2,443,10.200020
20,3,282,10.255221
20,4,280,10.598595
21,0,166,9.334980
21,1,253,9.804998
21,2,4,9.963652
21,3,217,10.195995
21,4,248,10.482066
22,0,210,8.947519
22,1,410,9.266567
22,2,142,9.646976
22,3,458,9.862284
22,4,385,10.168776
23,0,279,10.556015
23,1,37,10.740906
23,2,39,10.743702
23,3,429,10.868406
23,4,160,10.966897
24,0,327,9.311478
24,1,376,9.361485
24,2,353,9.676711
24,3,52,9.684715
24,4,305,9.696455
25,0,217,9.846754
25,1,166,10.149301
25,2,289,10.161919
25,3,309,10.323035
25,4,253,10.737201
26,0,389,10.263234
26,1,395,10.660230
26,2,12,10.946079
26,3,288,11.275587
26,4,244,11.321647
27,0,248,9.965762
27,1,268,10.189795
27,2,396,10.363911
27,3,243,10.564835
27,4,205,10.583484
28,0,421,8.990613
28,1,307,9.255323
28,2,89,9.259721
28,3,59,9.736168
28,4,18,9.758040
29,0,198,9.201852
29,1,282,9.227826
29,2,157,10.024841
29,3,244,10.196022
29,4,264,10.355927
30,0,405,11.809669
30,1,394,12.028015
30,2,109,12.032650
30,3,5,12.219250
30,4,44,12.353497
31,0,71,10.623322
31,1,217,10.924048
31,2,126,11.475358
31,3,289,11.973068
31,4,251,12.234979
32,0,387,12.060380
32,1,445,12.758076
32,2,15,12.962345
32,3,308,13.028121
32,4,238,13.111750
33,0,132,10.502481
33,1,291,10.906259
33,2,445,11.150909
33,3,77,11.239668
33,4,95,11.255625
34,0,69,10.181942
34,1,13,10.278548
34,2,357,10.527908
34,3,44,10.861106
34,4,259,11.336694
35,0,418,10.456234
35,1,366,10.562491
35,2,223,10.585231
35,3,289,10.674728
35,4,114,10.692784
36,0,50,9.589069
36,1,202,10.145075
36,2,211,10.356225
36,3,435,10.579209
36,4,174,10.937701
37,0,84,9.291264
37,1,221,10.229656
37,2,284,10.575851
37,3,11,10.745787
37,4,152,10.861578
38,0,54,9.265045
38,1,376,9.919189
38,2,457,10.123990
38,3,253,10.142690
38,4,172,10.182079
39,0,61,9.536250
39,1,163,9.617965
39,2,42,9.728292
39,3,215,10.181352
39,4,348,10.196099
40,0,82,9.349043
40,1,151,9.899831
40,2,16,9.932619
40,3,297,9.986484
40,4,217,10.116988
41,0,84,8.936342
41,1,50,9.491744
41,2,72,9.712377
41,3,289,9.733017
41,4,221,9.758172
42,0,268,10.038305
42,1,146,10.632855
42,2,311,10.657063
42,3,138,10.669805
42,4,348,10.771378
43,0,435,10.446548
43,1,351,10.689545
43,2,288,11.211136
43,3,199,11.309025
43,4,226,11.473602
44,0,435,9.181223
44,1,50,9.185001
44,2,202,9.613144
44,3,221,9.908237
44,4,393,10.373273
45,0,389,8.953367
45,1,244,8.978531
45,2,288,9.083499
45,3,50,9.218369
45,4,428,9.493836
46,0,358,10.482981
46,1,363,11.299511
46,2,30,11.413124
46,3,214,11.464045
46,4,14,11.468912
47,0,160,10.310094
47,1,29,10.573379
47,2,147,10.871101
47,3,19,11.070009
47,4,269,11.129377
48,0,123,10.575500
48,1,291,10.809768
48,2,160,10.929146
48,3,283,10.953963
48,4,95,11.024763
49,0,141,9.428700
49,1,244,9.712876
49,2,156,9.734874
49,3,458,9.943002
49,4,195,10.084349
50,0,54,8.084254
50,1,121,9.403057
50,2,393,9.691437
50,3,211,9.697119
50,4,142,9.764275
51,0,210,8.869548
51,1,380,9.067523
51,2,211,9.396658
51,3,424,9.570510
51,4,142,9.925061
52,0,56,9.745297
52,1,202,10.049287
52,2,289,10.115851
52,3,395,10.246129
52,4,282,10.311094
53,0,279,10.877433
53,1,33,11.258021
53,2,452,11.519213
53,3,387,11.619186
53,4,88,11.829039
54,0,358,10.023583
54,1,440,10.052499
54,2,30,10.384605
54,3,234,10.687198
54,4,363,10.695764
55,0,289,9.155933
55,1,198,9.494094
55,2,383,9.582298
55,3,197,9.674380
55,4,248,9.755970
56,0,6,9.031662
56,1,343,9.293536
56,2,228,9.349092
56,3,356,9.435133
56,4,340,9.669723
57,0,166,9.299862
57,1,291,9.368803
57,2,422,9.369181
57,3,290,9.388389
57,4,108,9.591857
58,0,455,10.656739
58,1,131,11.468359
58,2,299,11.735634
58,3,402,12.005497
58,4,361,12.146717
59,0,16,8.780916
59,1,139,8.822555
59,2,114,9.240384
59,3,297,9.558631
59,4,217,9.643315
60,0,365,11.546878
60,1,219,12.453890
60,2,40,13.397955
60,3,51,13.527287
60,4,77,13.914069
61,0,268,11.755063
61,1,47,11.896544
61,2,59,12.070184
61,3,13,12.128921
61,4,248,12.186987
62,0,289,8.893865
62,1,72,9.052526
62,2,102,9.174949
62,3,343,9.194184
62,4,228,9.315291
63,0,441,9.149625
63,1,203,9.416516
63,2,113,9.444866
63,3,120,9.455216
63,4,101,9.532498
64,0,202,8.451609
64,1,435,9.222464
64,2,50,9.292446
64,3,174,9.404131
64,4,288,9.844293
65,0,452,10.940056
65,1,76,11.451601
65,2,85,11.594139
65,3,445,11.628483
65,4,291,11.836502
66,0,357,10.373282
66,1,44,10.520638
66,2,69,10.700599
66,3,142,11.106160
66,4,210,11.289082
67,0,407,11.187396
67,1,17,11.233305
67,2,138,11.294517
67,3,382,11.350605
67,4,354,11.356712
68,0,48,9.096756
68,1,417,9.857616
68,2,446,10.633921
68,3,172,10.675344
68,4,437,10.704619
69,0,48,10.079808
69,1,417,11.017484
69,2,319,11.514186
69,3,220,11.832448
69,4,431,12.088702
70,0,422,9.719375
70,1,263,10.140986
70,2,4,10.207312
70,3,166,10.260353
70,4,382,10.310899
71,0,50,8.776595
71,1,174,8.868918
71,2,366,9.417061
71,3,202,9.772342
71,4,395,10.027143
72,0,302,7.760337
72,1,380,8.420998
72,2,211,9.239407
72,3,50,9.262621
72,4,183,9.330497
73,0,54,8.798284
73,1,211,9.236017
73,2,393,9.246967
73,3,437,9.791456
73,4,288,9.848982
74,0,411,9.647491
74,1,264,9.879313
74,2,265,10.260242
74,3,288,10.335439
74,4,342,10.384155
75,0,12,9.473125
75,1,141,9.577436
75,2,195,9.686209
75,3,244,9.868125
75,4,342,9.957043
76,0,283,9.289197
76,1,108,9.533036
76,2,129,9.548486
76,3,6,9.567302
76,4,182,9.644818
77,0,253,9.609667
77,1,166,10.023215
77,2,289,10.340899
77,3,282,10.455483
77,4,284,10.493691
78,0,248,9.214836
78,1,408,10.196985
78,2,327,10.849118
78,3,394,10.997004
78,4,353,11.034464
79,0,445,12.727267
79,1,206,13.332118
79,2,291,13.405413
79,3,255,13.873872
79,4,219,13.982280
80,0,244,8.570865
80,1,342,9.121568
80,2,288,9.346075
80,3,205,9.497822
80,4,458,9.630122
81,0,341,9.837544
81,1,351,10.762918
81,2,165,10.777150
81,3,373,10.820707
81,4,327,11.106103
82,0,50,9.020302
82,1,366,9.821080
82,2,174,9.938348
82,3,428,9.998205
82,4,202,10.078864
83,0,289,7.560518
83,1,253,9.176805
83,2,72,9.352388
83,3,16,9.556792
83,4,197,9.603927
84,0,13,10.062063
84,1,377,10.095431
84,2,98,10.128876
84,3,198,10.146137
84,4,248,10.330666
85,0,217,7.882166
85,1,297,7.907385
85,2,395,9.160432
85,3,289,9.363642
85,4,187,9.860329
86,0,330,8.647584
86,1,289,8.715203
86,2,72,8.963709
86,3,287,8.986616
86,4,345,9.298963
87,0,147,9.525636
87,1,143,9.694201
87,2,77,10.042437
87,3,93,10.185969
87,4,402,10.314725
88,0,202,8.786433
88,1,174,9.142378
88,2,288,9.554250
88,3,395,9.555681
88,4,244,9.569971
89,0,244,7.635583
89,1,389,8.651228
89,2,288,8.897995
89,3,342,9.288021
89,4,321,9.449399
90,0,284,9.490010
90,1,288,9.639694
90,2,54,9.724629
90,3,289,9.782722
90,4,221,9.847829
91,0,348,7.884373
91,1,248,9.306337
91,2,175,9.643094
91,3,55,9.678013
91,4,310,10.056815
92,0,284,9.944650
92,1,152,10.147653
92,2,437,10.749100
92,3,221,10.854156
92,4,288,10.901858
93,0,421,9.036016
93,1,289,9.277037
93,2,228,9.333920
93,3,99,9.384279
93,4,55,9.406120
94,0,288,8.489430
94,1,244,8.490746
94,2,321,8.804213
94,3,50,8.940143
94,4,156,9.017882
95,0,156,9.580352
95,1,307,9.736936
95,2,35,10.232819
95,3,89,10.419389
95,4,242,10.667596
96,0,330,9.805636
96,1,84,10.180626
96,2,82,10.498610
96,3,191,10.521080
96,4,282,10.543434
97,0,131,10.063689
97,1,166,10.118267
97,2,143,10.301015
97,3,399,10.393289
97,4,291,10.440911
98,0,95,9.830696
98,1,33,10.156493
98,2,456,10.302709
98,3,417,10.407690
98,4,131,10.473227
99,0,327,10.371652
99,1,248,10.473833
99,2,396,10.560312
99,3,165,10.727120
99,4,394,10.751366
100,0,55,8.288679
100,1,289,9.008439
100,2,424,9.807072
100,3,241,10.136989
100,4,282,10.218726
101,0,414,11.091114
101,1,383,12.076932
101,2,353,12.134395
101,3,251,12.158474
101,4,128,12.166378
102,0,156,9.540531
102,1,244,9.748904
102,2,435,10.581356
102,3,12,10.897701
102,4,389,10.929897
103,0,219,11.406298
103,1,51,12.828649
103,2,41,13.136370
103,3,209,13.606612
103,4,40,13.734335
104,0,166,9.701766
104,1,289,9.737823
104,2,253,9.764369
104,3,72,10.310591
104,4,217,10.623271
105,0,50,9.127077
105,1,202,9.711670
105,2,460,10.090212
105,3,174,10.273832
105,4,395,10.399359
106,0,187,10.455571
106,1,198,10.488117
106,2,157,10.555780
106,3,289,10.606522
106,4,107,10.621185
107,0,109,8.725531
107,1,396,10.007300
107,2,69,10.305490
107,3,210,10.603658
107,4,286,10.869936
108,0,65,9.272687
108,1,357,11.312001
108,2,42,11.316072
108,3,13,11.399117
108,4,142,11.466411
109,0,314,9.884449
109,1,140,10.464082
109,2,225,10.554618
109,3,332,10.841043
109,4,69,10.932510
110,0,198,11.013774
110,1,443,11.046914
110,2,342,12.011540
110,3,12,12.163859
110,4,195,12.252666
111,0,211,7.411687
111,1,302,8.622952
111,2,210,9.095562
111,3,346,9.097222
111,4,183,9.163000
112,0,307,9.956139
112,1,289,10.230844
112,2,288,10.366210
112,3,202,10.382818
112,4,84,10.774658
113,0,244,9.658165
113,1,389,9.917131
113,2,288,10.102103
113,3,198,10.147081
113,4,435,10.170039
114,0,126,9.823174
114,1,16,9.857917
114,2,57,10.233147
114,3,289,10.237750
114,4,367,10.628240
115,0,288,9.505639
115,1,12,9.552116
115,2,198,9.573019
115,3,244,9.649674
115,4,389,9.681368
116,0,428,9.123883
116,1,435,9.592569
116,2,156,9.644815
116,3,12,9.710814
116,4,244,9.766694
117,0,435,8.813795
117,1,202,9.943274
117,2,389,10.178929
117,3,50,10.296380
117,4,395,10.356894
118,0,248,10.128779
118,1,348,10.140571
118,2,408,10.255227
118,3,396,10.909003
118,4,243,10.941278
119,0,289,9.031321
119,1,202,9.470580
119,2,288,9.669006
119,3,187,9.707241
119,4,395,9.851544
120,0,50,7.702111
120,1,174,8.714987
120,2,202,9.122478
120,3,366,9.239120
120,4,211,9.703629
121,0,244,8.714216
121,1,435,8.746120
121,2,458,9.209490
121,3,156,9.210980
121,4,141,9.289289
122,0,395,11.524558
122,1,12,11.804266
122,2,403,12.190865
122,3,411,12.399080
122,4,389,12.420246
123,0,244,9.557584
123,1,210,9.682861
123,2,458,9.786265
123,3,142,11.001245
123,4,288,11.190618
124,0,29,9.419426
124,1,95,9.726258
124,2,419,9.891822
124,3,147,9.947110
124,4,234,10.225464
125,0,209,10.457451
125,1,461,11.461697
125,2,125,11.705182
125,3,76,12.020132
125,4,405,12.031382
126,0,297,9.979627
126,1,217,10.051509
126,2,114,10.293324
126,3,366,10.423105
126,4,437,10.575075
127,0,288,7.883107
127,1,289,8.547625
127,2,202,8.613819
127,3,284,8.739447
127,4,72,8.838324
128,0,210,8.628375
128,1,410,8.717182
128,2,54,9.537556
128,3,69,9.608422
128,4,165,9.739465
129,0,83,11.677030
129,1,234,11.723983
129,2,168,11.789950
129,3,30,12.070118
129,4,181,12.137918
130,0,33,9.598908
130,1,76,9.955528
130,2,291,10.149556
130,3,85,10.200935
130,4,95,10.255992
131,0,121,9.688039
131,1,253,10.043546
131,2,351,10.319017
131,3,166,10.376706
131,4,373,10.451353
132,0,84,10.213663
132,1,126,10.596095
132,2,174,10.942769
132,3,11,11.106424
132,4,56,11.178691
133,0,395,9.100979
133,1,307,10.897152
133,2,174,11.046756
133,3,460,11.270833
133,4,148,11.333861
134,0,445,11.176941
134,1,33,11.556111
134,2,238,12.004218
134,3,206,12.024093
134,4,85,12.070230
135,0,50,7.868607
135,1,89,8.914795
135,2,302,9.003340
135,3,307,9.195950
135,4,428,9.204106
136,0,383,8.817472
136,1,421,9.601686
136,2,265,9.626221
136,3,157,9.658936
136,4,348,9.831276
137,0,191,10.313879
137,1,187,10.353584
137,2,333,10.900571
137,3,280,10.906317
137,4,351,10.937093
138,0,257,9.559988
138,1,229,10.357964
138,2,76,10.786932
138,3,104,10.909783
138,4,445,10.935410
139,0,461,10.986989
139,1,125,11.061535
139,2,76,11.080516
139,3,445,11.752106
139,4,80,11.836151
140,0,270,11.808012
140,1,230,12.300562
140,2,420,12.484197
140,3,234,12.533009
140,4,113,12.737308
141,0,284,8.153739
141,1,437,8.605511
141,2,84,9.196853
141,3,253,9.682641
141,4,54,9.723496
142,0,57,10.639606
142,1,289,10.763995
142,2,217,10.885011
142,3,16,11.006664
142,4,129,11.079247
143,0,56,11.049417
143,1,284,11.317668
143,2,282,11.440373
143,3,253,11.637596
143,4,437,11.745781
144,0,259,11.640473
144,1,210,13.029934
144,2,44,13.256954
144,3,385,13.573441
144,4,167,13.896920
145,0,284,9.299192
145,1,282,9.950543
145,2,241,10.242771
145,3,253,10.634729
145,4,56,10.773593
146,0,299,9.767175
146,1,291,10.061475
146,2,297,10.108038
146,3,77,10.118816
146,4,362,10.251619
147,0,217,10.044035
147,1,289,10.889678
147,2,309,11.060999
147,3,82,11.172127
147,4,169,11.194290
148,0,244,10.417582
148,1,195,11.031941
148,2,198,11.220192
148,3,156,11.237824
148,4,443,11.374195
149,0,362,10.240441
149,1,77,10.685104
149,2,439,10.824588
149,3,370,10.845067
149,4,319,10.895998
150,0,211,10.014360
150,1,346,10.612619
150,2,170,10.965352
150,3,255,11.498197
150,4,121,11.620859
151,0,202,9.009845
151,1,288,9.052425
151,2,50,9.238783
151,3,458,9.270380
151,4,244,9.291221
152,0,307,10.070045
152,1,156,10.075333
152,2,12,10.380517
152,3,89,10.458904
152,4,135,10.964960
153,0,384,10.311754
153,1,169,10.337780
153,2,289,10.517709
153,3,82,10.633748
153,4,151,10.635608
154,0,389,9.372493
154,1,307,9.837277
154,2,435,10.090279
154,3,202,10.106311
154,4,244,10.329720
155,0,128,10.449317
155,1,264,10.487734
155,2,248,10.650510
155,3,198,10.696765
155,4,265,10.809768
156,0,445,10.854678
156,1,387,10.970647
156,2,238,11.025165
156,3,85,11.116265
156,4,452,11.209715
157,0,244,8.556910
157,1,458,8.856756
157,2,288,9.181436
157,3,385,10.631432
157,4,198,10.814498
158,0,289,8.011802
158,1,82,9.372398
158,2,366,9.383232
158,3,253,9.465023
158,4,284,9.577446
159,0,174,9.198352
159,1,395,9.314122
159,2,202,9.690067
159,3,366,9.831751
159,4,389,9.884214
160,0,50,8.531003
160,1,202,9.340461
160,2,460,9.613677
160,3,366,9.797828
160,4,174,9.966564
161,0,414,10.245390
161,1,466,10.818460
161,2,248,10.931427
161,3,310,10.945382
161,4,348,11.314399
162,0,314,9.215456
162,1,450,9.669505
162,2,175,10.250825
162,3,55,10.456309
162,4,424,10.758924
163,0,189,10.564115
163,1,165,10.564672
163,2,285,10.609927
163,3,69,10.629227
163,4,396,10.653669
164,0,166,10.622613
164,1,24,10.871321
164,2,95,11.060003
164,3,136,11.182782
164,4,294,11.310566
165,0,237,10.095866
165,1,176,11.179532
165,2,159,11.183219
165,3,375,11.738712
165,4,334,11.784270
166,0,234,9.755823
166,1,39,10.275965
166,2,271,10.468184
166,3,422,10.542082
166,4,166,10.643518
167,0,90,9.660853
167,1,0,11.095714
167,2,463,11.169107
167,3,129,11.263309
167,4,348,11.409471
168,0,456,10.019211
168,1,33,10.079185
168,2,95,10.165576
168,3,48,10.197279
168,4,417,10.328084
169,0,44,10.989097
169,1,109,11.546362
169,2,13,11.643456
169,3,450,11.653757
169,4,357,11.961573
170,0,166,9.645618
170,1,169,9.668602
170,2,253,10.205134
170,3,240,10.737638
170,4,95,10.750665
171,0,202,9.844940
171,1,435,10.469980
171,2,460,10.507023
171,3,50,10.867696
171,4,288,11.108836
172,0,147,9.912631
172,1,301,9.937420
172,2,419,10.036697
172,3,399,10.302137
172,4,203,10.420841
173,0,244,8.465744
173,1,288,8.968029
173,2,389,9.769643
173,3,321,9.841158
173,4,195,9.924464
174,0,458,10.095425
174,1,156,10.150164
174,2,435,10.566122
174,3,244,10.685122
174,4,380,10.976774
175,0,54,8.322876
175,1,437,8.343655
175,2,362,8.969849
175,3,166,9.525702
175,4,253,9.525927
176,0,282,11.223009
176,1,310,11.469884
176,2,466,11.483817
176,3,463,11.600466
176,4,253,11.607346
177,0,85,9.940411
177,1,147,10.119058
177,2,413,10.440257
177,3,419,10.465928
177,4,406,10.647160
178,0,244,8.811039
178,1,288,9.218777
178,2,458,9.359603
178,3,435,10.022302
178,4,389,10.123107
179,0,202,9.734550
179,1,346,10.011736
179,2,458,10.025033
179,3,288,10.061193
179,4,448,10.140435
180,0,435,10.464006
180,1,202,10.761409
180,2,226,10.960531
180,3,221,10.985005
180,4,174,11.074562
181,0,244,7.669166
181,1,288,7.999046
181,2,202,8.163393
181,3,428,8.638185
181,4,50,8.643259
182,0,394,11.765391
182,1,259,12.163076
182,2,443,12.270735
182,3,52,12.499302
182,4,396,12.506966
183,0,443,11.794437
183,1,282,11.870988
183,2,191,12.086140
183,3,466,12.089242
183,4,265,12.130277
184,0,242,9.588003
184,1,307,9.680841
184,2,82,9.850426
184,3,126,9.916968
184,4,114,9.918472
185,0,435,7.505426
185,1,202,9.488448
185,2,244,9.618650
185,3,50,9.622324
185,4,389,9.987163
186,0,286,9.320408
186,1,396,9.438658
186,2,115,9.672225
186,3,165,9.710120
186,4,69,10.003332
187,0,289,8.434541
187,1,284,8.960107
187,2,182,9.022578
187,3,217,9.208147
187,4,136,9.460996
188,0,85,9.911089
188,1,413,10.117631
188,2,406,10.276809
188,3,147,10.365654
188,4,419,10.684490
189,0,244,7.711274
189,1,458,8.472922
189,2,321,8.503762
189,3,156,8.832556
189,4,389,8.855820
190,0,198,9.794632
190,1,377,10.167656
190,2,458,10.364582
190,3,72,10.529459
190,4,265,10.590531
191,0,156,9.368963
191,1,218,10.127170
191,2,321,10.266951
191,3,12,10.328952
191,4,342,10.935575
192,0,244,9.465449
192,1,385,9.779100
192,2,142,10.077102
192,3,210,10.149643
192,4,458,10.282040
193,0,244,8.922149
193,1,342,9.525056
193,2,321,9.558657
193,3,198,9.710614
193,4,288,10.228374
194,0,450,8.753661
194,1,373,9.834566
194,2,69,9.842878
194,3,121,10.071792
194,4,396,10.115513
195,0,460,9.778024
195,1,174,10.087563
195,2,202,10.112940
195,3,435,10.304486
195,4,50,11.035150
196,0,244,7.581370
196,1,321,7.961972
196,2,458,8.607036
196,3,435,8.635792
196,4,50,8.750621
197,0,289,8.680324
197,1,253,9.217330
197,2,187,9.378456
197,3,84,9.455100
197,4,82,9.577077
198,0,376,9.653090
198,1,166,9.653162
198,2,253,9.750425
198,3,88,9.866560
198,4,248,9.880987
199,0,437,9.588165
199,1,417,9.647887
199,2,54,9.676294
199,3,393,9.957303
199,4,335,9.959877
200,0,18,9.665341
200,1,98,9.774896
200,2,198,9.834327
200,3,248,9.924987
200,4,264,9.979814
201,0,167,12.274117
201,1,109,12.348481
201,2,259,12.529648
201,3,44,12.588762
201,4,210,12.891184
202,0,450,9.116398
202,1,13,9.253711
202,2,69,9.523412
202,3,466,9.580364
202,4,357,9.833480
203,0,98,10.028840
203,1,285,10.387876
203,2,210,10.505274
203,3,377,10.639277
203,4,357,10.662852
204,0,395,11.062615
204,1,187,11.425914
204,2,307,11.783540
204,3,389,11.800144
204,4,289,11.911460
205,0,244,8.582575
205,1,435,8.733082
205,2,288,8.750907
205,3,321,9.308072
205,4,458,9.351585
206,0,437,9.539412
206,1,362,9.998489
206,2,226,10.065626
206,3,335,10.300929
206,4,48,10.609122
207,0,253,9.473165
207,1,227,9.952285
207,2,382,10.064569
207,3,136,10.157025
207,4,54,10.279137
208,0,251,9.104010
208,1,160,10.488077
208,2,43,10.488269
208,3,353,10.546814
208,4,136,10.623501
209,0,242,8.042182
209,1,289,8.157394
209,2,421,8.231791
209,3,6,8.904252
209,4,384,9.057838
210,0,370,10.232881
210,1,48,10.327496
210,2,456,10.588875
210,3,461,10.714211
210,4,125,10.727314
211,0,98,9.009740
211,1,138,9.548850
211,2,263,9.583502
211,3,264,9.850803
211,4,175,9.934601
212,0,211,8.411774
212,1,302,8.817215
212,2,50,8.842256
212,3,435,9.827128
212,4,458,9.945610
213,0,264,9.019767
213,1,265,9.274704
213,2,368,9.279428
213,3,342,9.287062
213,4,18,9.312598
214,0,211,10.482218
214,1,170,10.525723
214,2,255,10.968725
214,3,226,11.341909
214,4,48,11.402734
215,0,160,9.954974
215,1,191,10.207216
215,2,136,10.238728
215,3,372,10.259487
215,4,279,10.627102
216,0,417,9.171176
216,1,319,9.279418
216,2,446,9.354421
216,3,220,9.853136
216,4,456,9.945773
217,0,350,11.215091
217,1,230,12.279809
217,2,329,13.036792
217,3,239,13.106928
217,4,214,13.134587
218,0,421,8.646070
218,1,72,8.779039
218,2,50,9.010576
218,3,356,9.026724
218,4,289,9.205426
219,0,437,8.381262
219,1,54,8.770588
219,2,253,9.298523
219,3,393,9.561766
219,4,284,9.615010
220,0,406,10.725897
220,1,164,11.207382
220,2,413,11.413009
220,3,291,11.508311
220,4,86,11.550282
221,0,307,9.856441
221,1,395,10.086265
221,2,174,10.152307
221,3,289,10.313581
221,4,187,10.457567
222,0,166,8.417010
222,1,289,8.603627
222,2,253,8.693512
222,3,72,9.501301
222,4,4,9.652381
223,0,152,10.980810
223,1,226,11.316222
223,2,389,11.602391
223,3,335,11.656569
223,4,443,11.723078
224,0,414,10.704978
224,1,251,12.065090
224,2,191,12.359802
224,3,187,12.383953
224,4,353,12.445639
225,0,202,8.453305
225,1,174,8.577648
225,2,50,8.591953
225,3,288,8.956850
225,4,35,8.978905
226,0,307,8.233504
226,1,174,9.410419
226,2,89,9.554726
226,3,202,9.591173
226,4,460,9.737227
227,0,458,9.208681
227,1,244,10.557414
227,2,210,10.984164
227,3,142,11.071131
227,4,380,11.597579
228,0,211,8.622770
228,1,380,8.673262
228,2,458,9.018075
228,3,244,9.034189
228,4,142,9.331602
229,0,210,9.403287
229,1,13,9.945220
229,2,69,10.277292
229,3,396,10.325731
229,4,357,10.543278
230,0,307,9.893901
230,1,395,10.755489
230,2,389,11.149163
230,3,403,11.637596
230,4,174,11.811076
231,0,179,11.426170
231,1,176,11.654813
231,2,100,11.676675
231,3,181,11.752111
231,4,388,11.892301
232,0,234,11.950837
232,1,113,12.012874
232,2,420,12.045751
232,3,371,12.576924
232,4,230,12.841985
233,0,458,8.042850
233,1,244,9.019388
233,2,210,9.653174
233,3,380,9.816651
233,4,142,9.889851
234,0,289,8.697839
234,1,241,9.461857
234,2,307,9.504499
234,3,421,9.557089
234,4,223,9.669502
235,0,289,9.335908
235,1,16,9.384884
235,2,217,9.420965
