gen_index,rank,real_index,distance
0,0,477,11.834666
0,1,58,12.704451
0,2,242,12.962473
0,3,171,12.963342
0,4,130,13.301923
1,0,38,13.033660
1,1,34,13.573903
1,2,302,13.794024
1,3,248,14.003557
1,4,463,14.124298
2,0,476,11.150208
2,1,227,11.420969
2,2,2,11.492501
2,3,407,11.903790
2,4,379,12.229454
3,0,159,12.827621
3,1,9,13.694461
3,2,174,13.945678
3,3,487,14.036232
3,4,38,14.384313
4,0,232,11.723457
4,1,141,11.957840
4,2,446,12.071149
4,3,45,12.144814
4,4,356,12.433394
5,0,376,10.614503
5,1,476,11.033075
5,2,126,11.233310
5,3,302,11.445032
5,4,359,11.543024
6,0,38,11.653880
6,1,359,11.785912
6,2,500,12.264694
6,3,212,12.398098
6,4,9,12.588965
7,0,312,13.717735
7,1,37,14.271303
7,2,61,15.069875
7,3,339,15.384851
7,4,293,15.529672
8,0,227,10.629371
8,1,139,11.103651
8,2,412,11.117887
8,3,407,11.483717
8,4,254,11.512829
9,0,401,10.137160
9,1,376,10.431323
9,2,230,10.600256
9,3,487,11.352839
9,4,243,11.620959
10,0,477,10.578936
10,1,481,11.423267
10,2,130,12.523693
10,3,6,12.790737
10,4,141,12.791687
11,0,407,8.750469
11,1,139,9.235697
11,2,476,9.632752
11,3,376,9.731641
11,4,389,10.118596
12,0,175,10.042481
12,1,111,10.782710
12,2,336,11.048729
12,3,440,11.365123
12,4,146,11.577300
13,0,249,11.784739
13,1,159,12.836841
13,2,9,12.913791
13,3,138,13.988682
13,4,212,14.110228
14,0,166,11.540855
14,1,185,11.821820
14,2,422,12.491176
14,3,500,12.730013
14,4,397,12.774859
15,0,405,9.353213
15,1,114,9.610947
15,2,420,10.185810
15,3,323,10.245271
15,4,33,10.660098
16,0,210,14.282017
16,1,142,14.411128
16,2,160,14.453210
16,3,84,14.599295
16,4,7,14.619127
17,0,138,9.591304
17,1,450,9.989970
17,2,226,10.224029
17,3,116,10.444261
17,4,33,11.453444
18,0,115,11.011718
18,1,158,12.102349
18,2,421,12.351892
18,3,440,13.183103
18,4,111,13.564890
19,0,463,10.764525
19,1,159,10.771859
19,2,138,10.926216
19,3,249,11.956885
19,4,9,12.359869
20,0,155,10.615592
20,1,434,11.310147
20,2,153,11.823153
20,3,389,12.342436
20,4,142,12.495786
21,0,2,10.465473
21,1,56,11.360289
21,2,234,11.611945
21,3,374,11.848529
21,4,389,11.918804
22,0,500,12.298957
22,1,359,12.361420
22,2,196,12.624432
22,3,107,12.730981
22,4,302,12.777145
23,0,412,10.016157
23,1,364,10.936490
23,2,234,11.324843
23,3,254,11.527605
23,4,227,12.116697
24,0,399,15.734328
24,1,9,15.743511
24,2,174,16.013950
24,3,442,16.129910
24,4,249,16.210617
25,0,339,13.218708
25,1,212,13.511747
25,2,115,13.922235
25,3,242,14.022327
25,4,9,14.123262
26,0,476,12.984979
26,1,407,13.530069
26,2,234,13.752078
26,3,204,14.188917
26,4,254,14.246020
27,0,397,10.783254
27,1,477,11.208322
27,2,422,11.542857
27,3,26,11.583474
27,4,248,11.781999
28,0,364,12.204198
28,1,105,12.247539
28,2,476,12.404646
28,3,234,12.448680
28,4,222,12.654769
29,0,28,14.526087
29,1,404,14.800655
29,2,250,15.574922
29,3,211,15.698907
29,4,5,15.904005
30,0,80,12.850094
30,1,460,12.953843
30,2,456,12.960502
30,3,210,13.368585
30,4,443,13.419022
31,0,110,14.498354
31,1,501,15.467919
31,2,435,15.552708
31,3,498,15.592149
31,4,83,15.616183
32,0,48,11.900381
32,1,160,12.015086
32,2,6,12.206168
32,3,443,12.246176
32,4,88,12.474784
33,0,378,11.482050
33,1,359,11.729115
33,2,9,12.308455
33,3,126,12.420312
33,4,500,12.514535
34,0,500,10.801484
34,1,381,12.147264
34,2,378,12.429521
34,3,107,12.433794
34,4,185,12.763337
35,0,108,9.094643
35,1,494,9.232307
35,2,149,9.399214
35,3,50,9.524828
35,4,490,10.097631
36,0,476,11.730806
36,1,344,12.192406
36,2,326,12.670577
36,3,407,12.702587
36,4,61,12.836206
37,0,141,12.280597
37,1,170,12.611345
37,2,355,12.913332
37,3,469,12.975852
37,4,365,13.057808
38,0,270,8.730485
38,1,93,9.087268
38,2,41,9.177327
38,3,227,10.072982
38,4,407,10.400440
39,0,498,10.886679
39,1,208,11.893437
39,2,110,12.371713
39,3,210,12.380527
39,4,360,12.840758
40,0,454,11.564482
40,1,289,12.043691
40,2,286,12.101439
40,3,433,12.108803
40,4,294,12.188574
41,0,232,11.291239
41,1,284,11.814112
41,2,373,11.865217
41,3,141,12.025315
41,4,137,12.238093
42,0,388,13.244973
42,1,21,13.254967
42,2,7,13.295785
42,3,485,13.346995
42,4,223,13.398495
43,0,401,12.779208
43,1,378,13.195475
43,2,411,13.581842
43,3,477,13.625354
43,4,169,13.685902
44,0,2,9.969899
44,1,65,10.396613
44,2,366,10.938850
44,3,457,11.066226
44,4,56,11.095538
45,0,108,7.646466
45,1,494,8.028850
45,2,317,8.413520
45,3,436,9.556091
45,4,128,9.664031
46,0,3,10.576253
46,1,388,11.579369
46,2,446,11.796943
46,3,389,11.799365
46,4,509,11.844610
47,0,234,10.521587
47,1,2,11.279608
47,2,407,11.321920
