gen_index,rank,real_index,distance
0,0,14,16.725613
0,1,13,17.104395
0,2,3,17.105120
0,3,4,17.237923
0,4,25,17.267626
1,0,2,15.770425
1,1,51,16.051207
1,2,25,17.622246
1,3,20,17.664274
1,4,48,17.699825
2,0,34,17.704172
2,1,12,17.989929
2,2,42,18.614248
2,3,22,18.689737
2,4,36,18.728628
3,0,12,11.732443
3,1,22,12.926517
3,2,19,15.035007
3,3,34,16.578157
3,4,8,17.017530
4,0,50,11.929253
4,1,27,12.051596
4,2,26,13.714869
4,3,29,14.929884
4,4,44,15.169250
5,0,50,14.978886
5,1,3,15.226284
5,2,14,15.510133
5,3,27,15.856783
5,4,15,16.211988
6,0,26,11.907224
6,1,27,12.121624
6,2,29,12.512274
6,3,35,12.912713
6,4,30,13.595660
7,0,15,12.315689
7,1,44,13.194427
7,2,26,14.253057
7,3,34,14.530375
7,4,27,15.292255
8,0,18,13.324157
8,1,5,14.585312
8,2,9,15.624806
8,3,32,15.797165
8,4,48,16.792870
9,0,7,13.399732
9,1,11,15.338550
9,2,43,15.680587
9,3,35,16.275507
9,4,12,16.447771
10,0,19,12.760580
10,1,12,14.199079
10,2,22,15.796560
10,3,23,15.815491
10,4,36,16.099468
11,0,38,12.195617
11,1,50,12.443490
11,2,33,13.445585
11,3,10,14.119265
11,4,3,14.175768
12,0,27,15.099384
12,1,50,15.756413
12,2,3,15.977882
12,3,23,15.996128
12,4,31,16.009970
13,0,12,11.062864
13,1,22,13.059505
13,2,19,14.671232
13,3,34,16.158913
13,4,8,16.573877
14,0,27,14.479480
14,1,23,15.338040
14,2,31,15.559858
14,3,25,15.877077
14,4,39,16.237906
15,0,26,12.180243
15,1,27,12.746387
15,2,29,13.840212
15,3,50,14.355307
15,4,30,15.671984
16,0,14,17.244555
16,1,22,17.879066
16,2,42,17.926407
16,3,21,17.952587
16,4,43,18.323185
17,0,18,14.981735
17,1,48,16.137259
17,2,9,16.157166
17,3,3,16.182451
17,4,5,16.472799
18,0,38,12.099168
18,1,10,14.684286
18,2,19,14.686757
18,3,50,14.855560
18,4,3,15.543669
19,0,19,11.694636
19,1,50,15.149093
19,2,38,16.595161
19,3,12,17.222364
19,4,3,17.613207
20,0,43,15.205698
20,1,21,15.329787
20,2,22,15.980180
20,3,11,16.413784
20,4,16,16.935114
21,0,26,11.469966
21,1,29,12.062634
21,2,30,13.234880
21,3,27,13.766450
21,4,35,14.574473
22,0,33,14.869758
22,1,44,14.969861
22,2,36,15.327868
22,3,10,15.816769
22,4,50,16.254925
23,0,38,13.531959
23,1,50,14.367381
23,2,3,14.849468
23,3,10,15.225500
23,4,27,16.075069
24,0,12,13.219787
24,1,22,13.972005
24,2,19,15.087412
24,3,8,15.631770
24,4,36,17.493488
25,0,7,11.058845
25,1,11,11.370832
25,2,22,15.929247
25,3,35,16.153086
25,4,43,16.588768
26,0,20,14.900834
26,1,0,15.485579
26,2,9,15.593077
26,3,25,15.679783
26,4,32,15.693173
27,0,50,13.449924
27,1,23,13.928897
27,2,27,14.049384
27,3,17,14.997146
27,4,6,15.017454
28,0,27,16.046566
28,1,26,16.227079
28,2,29,16.637224
28,3,50,17.121372
28,4,3,17.222780
29,0,50,14.728884
29,1,10,15.391347
29,2,3,15.497871
29,3,33,15.847298
29,4,44,16.032209
30,0,15,13.233188
30,1,14,16.357977
30,2,41,16.566694
30,3,44,16.695114
30,4,3,16.941164
31,0,0,14.732933
31,1,1,17.234058
31,2,3,18.124533
31,3,36,18.536942
31,4,5,18.616604
32,0,36,17.258602
32,1,25,17.756622
32,2,20,18.015184
32,3,41,18.125610
32,4,3,18.126289
33,0,36,15.455626
33,1,34,15.710044
33,2,42,15.944231
33,3,44,16.080559
33,4,19,16.722784
34,0,22,14.299233
34,1,12,14.543646
34,2,19,15.099265
34,3,50,17.287729
34,4,3,17.288095
35,0,12,16.411549
35,1,34,17.252333
35,2,22,17.514553
35,3,19,17.683214
35,4,36,17.739971
36,0,11,15.513376
36,1,43,15.530190
36,2,7,15.974112
36,3,29,16.455093
36,4,26,16.756575
37,0,20,16.702248
37,1,36,16.810566
37,2,25,17.102880
37,3,51,17.314812
37,4,16,17.751881
38,0,4,17.992693
38,1,21,18.877289
38,2,23,18.930984
38,3,3,18.936840
38,4,17,18.961601
39,0,25,14.416777
39,1,51,15.329756
39,2,20,17.133430
39,3,40,17.585382
39,4,3,17.602701
40,0,27,14.425776
40,1,50,15.173279
40,2,3,15.360674
40,3,15,15.801063
40,4,23,16.050320
41,0,27,10.937346
41,1,50,14.157956
41,2,23,14.360677
41,3,35,14.724996
41,4,39,14.991870
42,0,12,16.335583
42,1,22,16.567297
42,2,9,16.843851
42,3,51,16.982664
42,4,40,17.464239
43,0,27,15.672333
43,1,3,16.760752
43,2,35,16.825125
43,3,31,17.234192
43,4,26,17.240452
44,0,3,14.135518
44,1,50,14.804669
44,2,33,14.824260
44,3,10,15.119402
44,4,19,16.023867
45,0,19,12.939698
45,1,36,14.632525
45,2,12,14.986584
45,3,14,15.110936
45,4,23,15.173944
46,0,27,16.816164
46,1,26,16.965269
46,2,29,17.340204
46,3,3,17.707680
46,4,22,17.990158
47,0,44,15.510900
47,1,34,15.818349
47,2,36,15.889513
47,3,42,16.025158
47,4,10,16.683514
48,0,16,13.861735
48,1,15,14.518303
48,2,36,14.825027
48,3,41,14.838893
48,4,44,15.005029
49,0,27,14.877932
49,1,50,15.604905
49,2,26,16.119320
49,3,44,16.231600
49,4,29,16.445242
50,0,27,11.216492
50,1,35,13.286486
50,2,50,14.675529
50,3,39,14.779866
50,4,23,14.859032
51,0,50,15.338379
51,1,3,15.684879
51,2,23,15.822474
51,3,13,16.124653
51,4,4,16.243361
52,0,36,16.551641
52,1,44,16.782436
52,2,23,16.921965
52,3,19,17.363354
52,4,10,17.391756
53,0,50,12.115120
53,1,44,12.916114
53,2,27,13.278309
53,3,26,13.433538
53,4,3,14.129815
54,0,11,14.592300
54,1,21,14.752084
54,2,7,14.900295
54,3,43,15.084042
54,4,42,16.277018
55,0,9,16.108723
55,1,12,16.298031
55,2,22,16.517250
55,3,51,17.239889
55,4,23,17.462458
56,0,26,10.743670
56,1,29,11.063678
56,2,30,11.360641
56,3,27,13.852171
56,4,35,14.253253
57,0,23,12.991035
57,1,3,14.522938
57,2,50,14.633162
57,3,15,14.891431
57,4,10,14.946139
58,0,27,12.325682
58,1,50,13.644588
58,2,23,14.025743
58,3,31,15.121115
58,4,17,15.439829
59,0,34,14.759450
59,1,7,15.205791
59,2,48,15.675492
59,3,35,16.370338
59,4,11,16.921989
60,0,19,12.703783
60,1,12,13.675350
60,2,36,14.220634
60,3,10,14.791142
60,4,3,15.295173
61,0,34,14.296301
61,1,43,16.039877
61,2,35,16.054840
61,3,23,16.173605
61,4,40,16.592808
62,0,27,12.416884
62,1,35,14.816241
62,2,39,15.426360
62,3,23,15.479054
62,4,17,15.577807
63,0,35,12.247937
63,1,34,13.130451
63,2,7,13.490543
63,3,11,13.712179
63,4,40,14.761034
64,0,27,16.059334
64,1,26,16.077126
64,2,29,16.451084
64,3,50,16.685419
64,4,3,16.812183
65,0,27,14.547790
65,1,23,15.211726
65,2,25,15.324950
