gen_index,rank,real_index,distance
0,0,4,8.499734
0,1,61,8.570889
0,2,29,9.148458
0,3,116,10.281992
0,4,1,11.036065
1,0,111,12.874073
1,1,15,13.088269
1,2,78,13.283194
1,3,24,13.660303
1,4,14,13.785860
2,0,114,11.527464
2,1,31,11.691582
2,2,127,11.858287
2,3,66,11.889262
2,4,65,11.922728
3,0,23,8.333913
3,1,98,8.657524
3,2,145,8.728272
3,3,45,8.843163
3,4,118,8.903253
4,0,4,14.911026
4,1,61,15.172778
4,2,116,15.586525
4,3,29,15.592425
4,4,111,15.831684
5,0,114,11.471259
5,1,79,11.809076
5,2,31,12.470266
5,3,57,12.560881
5,4,126,12.782534
6,0,66,9.622047
6,1,114,9.690275
6,2,118,10.015483
6,3,36,10.330558
6,4,62,10.444924
7,0,31,11.504879
7,1,83,12.128325
7,2,71,12.273107
7,3,126,12.541564
7,4,101,13.014556
8,0,113,9.476521
8,1,91,9.656367
8,2,85,9.720531
8,3,136,9.915743
8,4,77,10.390261
9,0,36,9.907325
9,1,118,10.016457
9,2,66,10.267078
9,3,93,10.427280
9,4,114,10.712372
10,0,111,9.127762
10,1,69,9.372854
10,2,39,9.395245
10,3,106,9.839911
10,4,41,9.886647
11,0,36,7.970569
11,1,48,9.236114
11,2,145,9.445907
11,3,12,9.464983
11,4,93,9.479518
12,0,51,7.483613
12,1,17,8.344027
12,2,36,8.555198
12,3,23,8.590045
12,4,127,8.856645
13,0,123,11.970979
13,1,25,11.971799
13,2,84,12.215355
13,3,54,12.432069
13,4,70,12.462546
14,0,130,14.577811
14,1,114,14.978872
14,2,35,15.192828
14,3,141,15.544971
14,4,49,15.732476
15,0,54,9.183274
15,1,39,9.218415
15,2,28,9.433729
15,3,3,9.482615
15,4,14,9.622891
16,0,52,7.569407
16,1,10,8.369357
16,2,97,8.441440
16,3,142,8.465322
16,4,140,8.748256
17,0,118,8.865000
17,1,93,9.133019
17,2,91,9.295618
17,3,113,9.356698
17,4,66,9.367790
18,0,2,9.260937
18,1,105,9.858639
18,2,128,10.053889
18,3,120,10.384808
18,4,103,11.067327
19,0,103,13.977366
19,1,114,14.341405
19,2,29,14.526007
19,3,46,14.697187
19,4,152,14.708610
20,0,49,15.634262
20,1,114,16.013058
20,2,103,16.191616
20,3,35,16.216848
20,4,19,16.264282
21,0,23,10.773803
21,1,103,12.900304
